"","term","kana","pos","value"
"75","恐悦","きょうえつ","名詞",0.996789
"76","過褒","かほう","名詞",0.996767
"77","美挙","びきょ","名詞",0.996767
"78","逸興","いっきょう","名詞",0.996762
"79","佑助","ゆうじょ","名詞",0.996724
"80","善行","ぜんこう","名詞",0.996706
"81","良相","りょうしょう","名詞",0.996701
"82","卓越","たくえつ","名詞",0.996701
"83","超邁","ちょうまい","名詞",0.996701
"84","超凡","ちょうぼん","名詞",0.996701
"85","超絶","ちょうぜつ","名詞",0.996701
"86","特出","とくしゅつ","名詞",0.996701
"87","英資","えいし","名詞",0.996701
"88","好日","こうじつ","名詞",0.996701
"89","傑出","けっしゅつ","名詞",0.996701
"90","俊髦","しゅんぼう","名詞",0.996701
"91","傑士","けっし","名詞",0.996698
"92","秀抜","しゅうばつ","名詞",0.996693
"93","大剛","たいごう","名詞",0.996688
"94","利運","りうん","名詞",0.996687
"95","好好爺","こうこうや","名詞",0.996687
"96","近信","きんしん","名詞",0.996685
"97","たやすい","たやすい","形容詞",0.996678
"98","快","かい","名詞",0.996654
"99","奇相","きそう","名詞",0.996648
"100","賢人","けんじん","名詞",0.996628
"101","崇","すう","名詞",0.996556
"102","抜群","ばつぐん","名詞",0.996505
"103","悦楽","えつらく","名詞",0.996501
"104","楽しむ","たのしむ","動詞",0.996427
"105","栄える","さかえる","動詞",0.996392
"106","吉日","きつじつ","名詞",0.996387
"107","善美","ぜんび","名詞",0.996363
"108","逸材","いつざい","名詞",0.996361
"109","好ましい","このましい","形容詞",0.996327
"110","才気","さいき","名詞",0.996294
"111","白眉","はくび","名詞",0.996273
"112","堪能","たんのう","名詞",0.996268
"113","善","ぜん","名詞",0.996266
"114","絶好","ぜっこう","名詞",0.996242
"115","横溢","おういつ","名詞",0.996238
"116","昌","しょう","名詞",0.996219
"117","芬芬","ふんぷん","名詞",0.996204
"118","善事","ぜんじ","名詞",0.99619
"119","賢明","けんめい","名詞",0.996177
"120","丁度","ちょうど","副詞",0.996176
"121","吉報","きっぽう","名詞",0.996133
"122","上上","じょうじょう","名詞",0.996111
"123","高説","こうせつ","名詞",0.99611
"124","善玉","ぜんだま","名詞",0.996101
"125","非凡","ひぼん","名詞",0.996006
"126","憧憬","どうけい","名詞",0.995979
"127","憧憬","しょうけい","名詞",0.995979
"128","吉事","きちじ","名詞",0.995969
"129","至妙","しみょう","名詞",0.99596
"130","名声","めいせい","名詞",0.995929
"131","奨励","しょうれい","名詞",0.995904
"132","そこのけ","そこのけ","名詞",0.995899
"133","雄志","ゆうし","名詞",0.995864
"134","佳景","かけい","名詞",0.995859
"135","善用","ぜんよう","名詞",0.995847
"136","走り井","はしりい","名詞",0.995839
"137","楽しい","たのしい","形容詞",0.995837
"138","愛くるしい","あいくるしい","形容詞",0.9958
"139","佳良","かりょう","名詞",0.995771
"140","堪能","かんのう","名詞",0.995747
"141","好評","こうひょう","名詞",0.995744
"142","積善","せきぜん","名詞",0.995738
"143","喜ばしい","よろこばしい","形容詞",0.995736
"144","精強","せいきょう","名詞",0.995728
"145","志す","こころざす","動詞",0.995707
"146","快い","こころよい","形容詞",0.995663
"147","手厚い","てあつい","形容詞",0.995653
"148","大力","だいりき","名詞",0.995609
"149","穎悟","えいご","名詞",0.995574
"150","最長","さいちょう","名詞",0.99557
"151","剴切","がいせつ","名詞",0.995553
"152","甲斐甲斐しい","かいがいしい","形容詞",0.995471
"153","英才","えいさい","名詞",0.995468
"154","孝行","こうこう","名詞",0.995454
"155","援助","えんじょ","名詞",0.99544
"156","適性","てきせい","名詞",0.9954
"157","徳行","とっこう","名詞",0.995364
"158","褒詞","ほうし","名詞",0.995343
"159","賛辞","さんじ","名詞",0.995343
"160","楽","らく","名詞",0.995342
"161","慶事","けいじ","名詞",0.995342
"162","佳日","かじつ","名詞",0.995331
"163","吉辰","きっしん","名詞",0.995331
"164","俊秀","しゅんしゅう","名詞",0.995328
"165","気組み","きぐみ","名詞",0.995306
"166","賞辞","しょうじ","名詞",0.995292
"167","賞詞","しょうし","名詞",0.995291
"168","秀","しゅう","名詞",0.995285
"169","慶福","けいふく","名詞",0.995228
"170","福祉","ふくし","名詞",0.995217
"171","喜の字","きのじ","名詞",0.995214
"172","賢才","けんさい","名詞",0.995193
"173","優秀","ゆうしゅう","名詞",0.995178
"174","厚志","こうし","名詞",0.995146
"175","きびきび","きびきび","副詞",0.995129
"176","好事","こうじ","名詞",0.995098
"177","絶倫","ぜつりん","名詞",0.995096
"178","頌徳","しょうとく","名詞",0.995075
"179","才走る","さいばしる","動詞",0.995062
"180","賀","が","名詞",0.99506
"181","殷賑","いんしん","名詞",0.995056
"182","幸運","こううん","名詞",0.995019
"183","良能","りょうのう","名詞",0.99501
"184","輝かしい","かがやかしい","形容詞",0.994981
"185","傑作","けっさく","名詞",0.994939
"186","俊足","しゅんそく","名詞",0.994928
"187","俊豪","しゅんごう","名詞",0.994928
"188","賛成","さんせい","名詞",0.994905
"189","高見","こうけん","名詞",0.994891
"190","雄心","ゆうしん","名詞",0.994864
"191","緑玉","りょくぎょく","名詞",0.994861
"192","翠玉","すいぎょく","名詞",0.994861
"193","高論","こうろん","名詞",0.994844
"194","偉大","いだい","名詞",0.994833
"195","卓抜","たくばつ","名詞",0.994832
"196","明主","めいしゅ","名詞",0.994826
"197","似合しい","にあわしい","形容詞",0.994823
"198","聖人","せいじん","名詞",0.994786
"199","耆婆扁鵲","ぎばへんじゃく","名詞",0.994786
"200","英気","えいき","名詞",0.994762
"201","思わしい","おもわしい","形容詞",0.994729
"202","ジェントルマン","ジェントルマン","名詞",0.994709
"203","ゼントルマン","ゼントルマン","名詞",0.994707
"204","俊才","しゅんさい","名詞",0.994698
"205","大賢","たいけん","名詞",0.994685
"206","吉日","きちにち","名詞",0.994605
"207","剛の者","こうのもの","名詞",0.994597
"208","雄偉","ゆうい","名詞",0.994593
"209","歓喜","かんき","名詞",0.994578
"210","出色","しゅっしょく","名詞",0.994535
"211","偉功","いこう","名詞",0.994524
"212","好人物","こうじんぶつ","名詞",0.994522
"213","吉祥","きっしょう","名詞",0.99448
"214","好望","こうぼう","名詞",0.994422
"215","名望","めいぼう","名詞",0.994414
"216","満足","まんぞく","名詞",0.994414
"217","最良","さいりょう","名詞",0.994401
"218","嘆賞","たんしょう","名詞",0.994377
"219","プライド","プライド","名詞",0.994375
"220","賢君","けんくん","名詞",0.99437
"221","上作","じょうさく","名詞",0.994367
"222","高邁","こうまい","名詞",0.994366
"223","愛らしい","あいらしい","形容詞",0.994354
"224","キュート","キュート","名詞",0.994327
"225","大和尚","だいおしょう","名詞",0.99432
"226","頓才","とんさい","名詞",0.994309
"227","欣喜雀躍","きんきじゃくやく","名詞",0.994303
"228","名品","めいひん","名詞",0.9943
"229","しおらしい","しおらしい","形容詞",0.994296
"230","善哉","よいかな","名詞",0.994261
"231","悦","えつ","名詞",0.994256
"232","腕利き","うできき","名詞",0.994239
"233","利手","ききて","名詞",0.994237
"234","傑人","けつじん","名詞",0.994229
"235","賞する","しょうする","動詞",0.994172
"236","賀春","がしゅん","名詞",0.994169
"237","腕っこき","うでっこき","名詞",0.994151
"238","賑賑しい","にぎにぎしい","形容詞",0.994134
"239","瑞瑞しい","みずみずしい","形容詞",0.99412
"240","持て囃す","もてはやす","動詞",0.994116
"241","芳醇","ほうじゅん","名詞",0.994114
"242","神助","しんじょ","名詞",0.994104
"243","育英","いくえい","名詞",0.994085
"244","頌春","しょうしゅん","名詞",0.994073
"245","英俊","えいしゅん","名詞",0.994061
"246","頌辞","しょうじ","名詞",0.994046
"247","嘉辰","かしん","名詞",0.994019
"248","僥倖","ぎょうこう","名詞",0.994009
"249","秀才","しゅうさい","名詞",0.994009
"250","鑽仰","さんぎょう","名詞",0.994004
"251","佳作","かさく","名詞",0.993976
"252","達筆","たっぴつ","名詞",0.993964
"253","精良","せいりょう","名詞",0.993937
"254","顔揃い","かおぞろい","名詞",0.993885
"255","瑞枝","みずえ","名詞",0.993868
"256","隆昌","りゅうしょう","名詞",0.993836
"257","正しい","ただしい","形容詞",0.993836
"258","女傑","じょけつ","名詞",0.993819
"259","勧賞","かんしょう","名詞",0.993819
"260","落ち着く","おちつく","動詞",0.993768
"261","元気","げんき","名詞",0.993766
"262","興じる","きょうじる","動詞",0.9937
"263","吉左右","きっそう","名詞",0.993689
"264","おめでたい","おめでたい","形容詞",0.99368
"265","敏速","びんそく","名詞",0.993678
"266","際立つ","きわだつ","動詞",0.993674
"267","福相","ふくそう","名詞",0.993652
"268","偉才","いさい","名詞",0.993648
"269","卓才","たくさい","名詞",0.993637
"270","嘉する","よみする","動詞",0.993636
"271","存命","ぞんめい","名詞",0.993607
"272","清清しい","すがすがしい","形容詞",0.993552
"273","聡い","さとい","形容詞",0.993552
"274","高貴","こうき","名詞",0.993551
"275","快諾","かいだく","名詞",0.993545
"276","偉物","えらぶつ","名詞",0.993528
"277","知徳","ちとく","名詞",0.993527
"278","愉楽","ゆらく","名詞",0.993504
"279","卓然","たくぜん","名詞",0.993469
"280","チャリティー","チャリティー","名詞",0.993467
"281","秀麗","しゅうれい","名詞",0.993448
"282","頑強","がんきょう","名詞",0.993434
"283","貴重","きちょう","名詞",0.993432
"284","意気","いき","名詞",0.993413
"285","卓識","たくしき","名詞",0.993413
"286","聖哲","せいてつ","名詞",0.993349
"287","偉人","いじん","名詞",0.993344
"288","豪気","ごうき","名詞",0.993334
"289","秀作","しゅうさく","名詞",0.993302
"290","聡明","そうめい","名詞",0.993288
"291","栄光","えいこう","名詞",0.99326
"292","寿","じゅ","名詞",0.993259
"293","炯眼","けいがん","名詞",0.993224
"294","最善","さいぜん","名詞",0.993208
"295","新撰","しんせん","名詞",0.993205
"296","思う様","おもうさま","副詞",0.993181
"297","栄華","えいが","名詞",0.99315
"298","歓楽","かんらく","名詞",0.993142
"299","名僧","めいそう","名詞",0.993129
"300","先賢","せんけん","名詞",0.993095
"301","速写","そくしゃ","名詞",0.993093
"302","厚遇","こうぐう","名詞",0.99306
"303","能筆","のうひつ","名詞",0.993034
"304","分相応","ぶんそうおう","名詞",0.993009
"305","賢哲","けんてつ","名詞",0.993007
"306","傑物","けつぶつ","名詞",0.993004
"307","痛快","つうかい","名詞",0.993
"308","力強い","ちからづよい","形容詞",0.992994
"309","可愛い","かわいい","形容詞",0.992982
"310","欣快","きんかい","名詞",0.992978
"311","美景","びけい","名詞",0.992948
"312","慶する","けいする","動詞",0.99293
"313","良質","りょうしつ","名詞",0.992928
"314","清適","せいてき","名詞",0.992927
"315","逸品","いっぴん","名詞",0.992925
"316","エクスタシー","エクスタシー","名詞",0.992912
"317","優賞","ゆうしょう","名詞",0.9929
"318","利く","きく","動詞",0.99289
"319","美しい","うつくしい","形容詞",0.992888
"320","好逑","こうきゅう","名詞",0.992877
"321","快報","かいほう","名詞",0.992876
"322","慶","けい","名詞",0.992869
"323","朗報","ろうほう","名詞",0.992855
"324","情深い","なさけぶかい","形容詞",0.992855
"325","援護","えんご","名詞",0.992831
"326","男冥利","おとこみょうり","名詞",0.992814
"327","達見","たっけん","名詞",0.992798
"328","優に","ゆうに","副詞",0.992781
"329","優良","ゆうりょう","名詞",0.992775
"330","快速","かいそく","名詞",0.992763
"331","医する","いする","動詞",0.992739
"332","雀躍","じゃくやく","名詞",0.992694
"333","偉材","いざい","名詞",0.99266
"334","秀吟","しゅうぎん","名詞",0.992659
"335","高僧","こうそう","名詞",0.992649
"336","加勢","かせい","名詞",0.992648
"337","嘉賞","かしょう","名詞",0.992619
"338","あどけない","あどけない","形容詞",0.992614
"339","幅利き","はばきき","名詞",0.99261
"340","麗質","れいしつ","名詞",0.992601
"341","瑞相","ずいそう","名詞",0.992593
"342","隆盛","りゅうせい","名詞",0.992563
"343","欣幸","きんこう","名詞",0.992551
"344","妙案","みょうあん","名詞",0.992531
"345","懇意","こんい","名詞",0.992524
"346","祝賀","しゅくが","名詞",0.9925
"347","誠実","せいじつ","名詞",0.992493
"348","良好","りょうこう","名詞",0.992491
"349","高足","こうそく","名詞",0.992487
"350","偉勲","いくん","名詞",0.992473
"351","夢見心地","ゆめみごこち","名詞",0.992463
"352","吉","きち","名詞",0.992461
"353","賑わしい","にぎわしい","形容詞",0.992458
"354","尊書","そんしょ","名詞",0.992454
"355","いそいそ","いそいそ","副詞",0.99245
"356","晴がましい","はれがましい","形容詞",0.992439
"357","香ばしい","こうばしい","形容詞",0.992427
"358","寛","かん","名詞",0.99242
"359","雄編","ゆうへん","名詞",0.992405
"360","好いたらしい","すいたらしい","形容詞",0.992396
"361","慶兆","けいちょう","名詞",0.992393
"362","士君子","しくんし","名詞",0.992393
"363","花恥しい","はなはずかしい","形容詞",0.992382
"364","好況","こうきょう","名詞",0.992377
"365","慶賀","けいが","名詞",0.99237
"366","若若しい","わかわかしい","形容詞",0.992365
"367","浄机","じょうき","名詞",0.992364
"368","慧眼","けいがん","名詞",0.992345
"369","尤","ゆう","名詞",0.992322
"370","名作","めいさく","名詞",0.992322
"371","栄","えい","名詞",0.992315
"372","新緑","しんりょく","名詞",0.992292
"373","すばしこい","すばしこい","形容詞",0.992291
"374","瑞兆","ずいちょう","名詞",0.992271
"375","褒め者","ほめもの","名詞",0.992264
"376","猪口才","ちょこざい","名詞",0.992261
"377","令名","れいめい","名詞",0.992256
"378","先哲","せんてつ","名詞",0.992254
"379","心頼み","こころだのみ","名詞",0.992249
"380","愛でる","めでる","動詞",0.992239
"381","感賞","かんしょう","名詞",0.992222
"382","賛嘆","さんたん","名詞",0.992221
"383","幸福","こうふく","名詞",0.992213
"384","壮語","そうご","名詞",0.99221
"385","麗姿","れいし","名詞",0.992197
"386","名医","めいい","名詞",0.992181
"387","美質","びしつ","名詞",0.992176
"388","援兵","えんぺい","名詞",0.992171
"389","表彰","ひょうしょう","名詞",0.992164
"390","意気込む","いきごむ","動詞",0.99216
"391","メリット","メリット","名詞",0.99214
"392","愛す","あいす","動詞",0.992131
"393","神佑","しんゆう","名詞",0.992121
"394","鬼才","きさい","名詞",0.992116
"395","見目好い","みめよい","形容詞",0.992108
"396","多聞天","たもんてん","名詞",0.992067
"397","有難涙","ありがたなみだ","名詞",0.992057
"398","名馬","めいば","名詞",0.99202
"399","賛美","さんび","名詞",0.991998
"400","徳化","とっか","名詞",0.991963
"401","英略","えいりゃく","名詞",0.991961
"402","崇高","すうこう","名詞",0.991942
"403","聡","そう","名詞",0.991917
"404","驥足","きそく","名詞",0.991909
"405","景勝","けいしょう","名詞",0.991903
"406","曼陀羅華","まんだらげ","名詞",0.991895
"407","才人","さいじん","名詞",0.991889
"408","嬉し涙","うれしなみだ","名詞",0.99187
"409","俊","しゅん","名詞",0.991831
"410","祝する","しゅくする","動詞",0.991824
"411","善政","ぜんせい","名詞",0.991823
"412","承引","しょういん","名詞",0.991799
"413","ブーム","ブーム","名詞",0.991794
"414","恵む","めぐむ","動詞",0.991793
"415","佳什","かじゅう","名詞",0.991778
"416","風伯","ふうはく","名詞",0.991774
"417","相応しい","ふさわしい","形容詞",0.991753
"418","手ばしこい","てばしこい","形容詞",0.991736
"419","菩薩","ぼさつ","名詞",0.991707
"420","見好い","みよい","形容詞",0.991695
"421","最適","さいてき","名詞",0.991663
"422","褒めそやす","ほめそやす","動詞",0.991645
"423","治する","じする","動詞",0.991634
"424","耆宿","きしゅく","名詞",0.991624
"425","名案","めいあん","名詞",0.991618
"426","気楽","きらく","名詞",0.991617
"427","寛恕","かんじょ","名詞",0.99161
"428","力添え","ちからぞえ","名詞",0.991593
"429","御膳蕎麦","ごぜんそば","名詞",0.991585
"430","得難い","えがたい","形容詞",0.99158
"431","慶祝","けいしゅく","名詞",0.991577
"432","仏","ほとけ","名詞",0.991565
"433","賀宴","がえん","名詞",0.991533
"434","大知","たいち","名詞",0.991492
"435","上等","じょうとう","名詞",0.991482
"436","思う存分","おもうぞんぶん","副詞",0.991479
"437","名君","めいくん","名詞",0.991464
"438","幸","さち","名詞",0.991408
"439","神品","しんぴん","名詞",0.991407
"440","頼もしい","たのもしい","形容詞",0.991405
"441","絶佳","ぜっか","名詞",0.991378
"442","美味しい","おいしい","形容詞",0.99136
"443","晴晴","はればれ","名詞",0.991359
"444","逞しい","たくましい","形容詞",0.99135
"445","大慶","たいけい","名詞",0.991345
"446","逸物","いちもつ","名詞",0.991311
"447","尊い","たっとい","形容詞",0.991306
"448","一興","いっきょう","名詞",0.991285
"449","簡捷","かんしょう","名詞",0.991277
"450","生き生き","いきいき","名詞",0.991265
"451","気保養","きほよう","名詞",0.991241
"452","甲斐性","かいしょう","名詞",0.991236
"453","名剣","めいけん","名詞",0.991229
"454","奇才","きさい","名詞",0.991218
"455","だらし","だらし","名詞",0.991217
"456","うってつけ","うってつけ","名詞",0.991204
"457","福音","ふくいん","名詞",0.9912
"458","遺志","いし","名詞",0.991175
"459","聖賢","せいけん","名詞",0.991135
"460","礼賛","らいさん","名詞",0.991128
"461","慣れる","なれる","動詞",0.991114
"462","優等","ゆうとう","名詞",0.991059
"463","勝地","しょうち","名詞",0.991049
"464","盛名","せいめい","名詞",0.991039
"465","淑","しゅく","名詞",0.991037
"466","若返る","わかがえる","動詞",0.991011
"467","レリーフ","レリーフ","名詞",0.99098
"468","賞翫","しょうがん","名詞",0.990978
"469","高庇","こうひ","名詞",0.990976
"470","快哉","かいさい","名詞",0.990959
"471","インテリ","インテリ","名詞",0.990874
"472","評判","ひょうばん","名詞",0.99087
"473","ベター","ベターハーフ","名詞",0.990864
"474","剣客","けんかく","名詞",0.990859
"475","勇む","いさむ","動詞",0.990854
"476","金剛力","こんごうりき","名詞",0.990824
"477","吉相","きっそう","名詞",0.990819
"478","美点","びてん","名詞",0.990787
"479","名識","めいしき","名詞",0.990782
"480","絶景","ぜっけい","名詞",0.990779
"481","壮","そう","名詞",0.990775
"482","名香","めいこう","名詞",0.990771
"483","怪腕","かいわん","名詞",0.990764
"484","佳節","かせつ","名詞",0.990746
"485","偉効","いこう","名詞",0.990721
"486","偉業","いぎょう","名詞",0.990717
"487","俊英","しゅんえい","名詞",0.990704
"488","助ける","すける","動詞",0.990702
"489","効能","こうのう","名詞",0.990691
"490","英名","えいめい","名詞",0.990689
"491","やって退ける","やってのける","動詞",0.990689
"492","英傑","えいけつ","名詞",0.990685
"493","卓効","たっこう","名詞",0.990642
"494","剛直","ごうちょく","名詞",0.990636
"495","勧奨","かんしょう","名詞",0.990591
"496","好敵手","こうてきしゅ","名詞",0.990583
"497","奮い起す","ふるいおこす","動詞",0.990557
"498","俳聖","はいせい","名詞",0.990542
"499","冥加","みょうが","名詞",0.99054
"500","尤物","ゆうぶつ","名詞",0.990532
"501","画聖","がせい","名詞",0.990532
"502","厚情","こうじょう","名詞",0.990531
"503","前賢","ぜんけん","名詞",0.990527
"504","曠世","こうせい","名詞",0.990505
"505","仁徳","じんとく","名詞",0.990485
"506","嘉例","かれい","名詞",0.990457
"507","幸運児","こううんじ","名詞",0.990426
"508","すすどい","すすどい","形容詞",0.990412
"509","大国","たいこく","名詞",0.9904
"510","正","しょう","名詞",0.990394
"511","誉","よ","名詞",0.990383
"512","殷盛","いんせい","名詞",0.990371
"513","値頃","ねごろ","名詞",0.990358
"514","駿足","しゅんそく","名詞",0.990355
"515","尊い","とうとい","形容詞",0.990354
"516","鋭利","えいり","名詞",0.990334
"517","嘆美","たんび","名詞",0.990333
"518","天佑","てんゆう","名詞",0.990326
"519","与し易い","くみしやすい","形容詞",0.990325
"520","壮健","そうけん","名詞",0.990309
"521","奨金","しょうきん","名詞",0.990296
"522","上根","じょうこん","名詞",0.990246
"523","快楽","けらく","名詞",0.990222
"524","名家","めいか","名詞",0.990221
"525","選りすぐる","えりすぐる","動詞",0.990205
"526","うら若い","うらわかい","形容詞",0.990202
"527","改める","あらためる","動詞",0.990167
"528","芳名","ほうめい","名詞",0.990164
"529","英雄","えいゆう","名詞",0.990153
"530","好一対","こういっつい","名詞",0.990148
"531","日本一","にほんいち","名詞",0.990143
"532","嘉納","かのう","名詞",0.990112
"533","聖","ひじり","名詞",0.990084
"534","賀正","がしょう","名詞",0.990078
"535","声誉","せいよ","名詞",0.990073
"536","大福","だいふく","名詞",0.990069
"537","珍","ちん","名詞",0.990065
"538","微笑ましい","ほほえましい","形容詞",0.990061
"539","賢","けん","名詞",0.990028
"540","楽寝","らくね","名詞",0.990017
"541","愛妻","あいさい","名詞",0.990006
"542","特選","とくせん","名詞",0.989975
"543","大器","たいき","名詞",0.989969
"544","精彩","せいさい","名詞",0.989947
"545","めっけ物","めっけもの","名詞",0.989932
"546","鋭気","えいき","名詞",0.989913
"547","艶美","えんび","名詞",0.989904
"548","祝勝","しゅくしょう","名詞",0.989893
"549","明敏","めいびん","名詞",0.989886
"550","声名","せいめい","名詞",0.989882
"551","素志","そし","名詞",0.989872
"552","満満","まんまん","名詞",0.989868
"553","充溢","じゅういつ","名詞",0.989868
"554","一助","いちじょ","名詞",0.989863
"555","金鵄勲章","きんしくんしょう","名詞",0.989861
"556","上水","じょうすい","名詞",0.989858
"557","公平","こうへい","名詞",0.989836
"558","救う","すくう","動詞",0.989773
"559","端麗","たんれい","名詞",0.989767
"560","典麗","てんれい","名詞",0.989767
"561","晴朗","せいろう","名詞",0.989757
"562","盛年","せいねん","名詞",0.98975
"563","紳士","しんし","名詞",0.989749
"564","至誠","しせい","名詞",0.989738
"565","支援","しえん","名詞",0.989732
"566","文才","ぶんさい","名詞",0.989728
"567","名著","めいちょ","名詞",0.989727
"568","親しい","したしい","形容詞",0.989699
"569","雄渾","ゆうこん","名詞",0.98965
"570","絶勝","ぜっしょう","名詞",0.989649
"571","機知","きち","名詞",0.989647
"572","しゃきっと","しゃきっと","副詞",0.98963
"573","変革","へんかく","名詞",0.989616
"574","栄誉","えいよ","名詞",0.989607
"575","美姫","びき","名詞",0.989605
"576","有難い","ありがたい","形容詞",0.989597
"577","ＯＫ","オーケー","名詞",0.989596
"578","爽快","そうかい","名詞",0.989593
"579","卓論","たくろん","名詞",0.98958
"580","福運","ふくうん","名詞",0.989579
"581","冥利","みょうり","名詞",0.989499
"582","優越感","ゆうえつかん","名詞",0.989495
"583","全快","ぜんかい","名詞",0.989475
"584","英","えい","名詞",0.989474
"585","偉観","いかん","名詞",0.98946
"586","にっこり","にっこり","副詞",0.989443
"587","名将","めいしょう","名詞",0.989438
"588","見頃","みごろ","名詞",0.989433
"589","聖帝","せいてい","名詞",0.989404
"590","ぴか一","ぴかいち","名詞",0.989386
"591","大聖","たいせい","名詞",0.989376
"592","美美しい","びびしい","形容詞",0.989374
"593","上機嫌","じょうきげん","名詞",0.989372
"594","功科","こうか","名詞",0.989353
"595","寛ぐ","くつろぐ","動詞",0.989349
"596","強国","きょうこく","名詞",0.989343
"597","気炎","きえん","名詞",0.989337
"598","祝着","しゅうちゃく","名詞",0.989333
"599","妙趣","みょうしゅ","名詞",0.989326
"600","広壮","こうそう","名詞",0.989307
"601","君徳","くんとく","名詞",0.989299
"602","功徳","くどく","名詞",0.989295
"603","俊傑","しゅんけつ","名詞",0.989284
"604","上分別","じょうふんべつ","名詞",0.989278
"605","天才","てんさい","名詞",0.989242
"606","良辰","りょうしん","名詞",0.989228
"607","流涎","りゅうぜん","名詞",0.989214
"608","面白い","おもしろい","形容詞",0.989199
"609","小町","こまち","名詞",0.989194
"610","敏捷","びんしょう","名詞",0.989191
"611","貴顕","きけん","名詞",0.989188
"612","声望","せいぼう","名詞",0.989181
"613","人望","じんぼう","名詞",0.989169
"614","美名","びめい","名詞",0.989143
"615","特","とく","名詞",0.989139
"616","さばさば","さばさば","名詞",0.989139
"617","のんびり","のんびり","副詞",0.989135
"618","褒美","ほうび","名詞",0.989131
"619","碩徳","せきとく","名詞",0.98913
"620","優越","ゆうえつ","名詞",0.989105
"621","寛厚","かんこう","名詞",0.989093
"622","粒選り","つぶより","名詞",0.989077
"623","機才","きさい","名詞",0.989077
"624","ぴちぴち","ぴちぴち","副詞",0.989073
"625","功業","こうぎょう","名詞",0.989069
"626","名園","めいえん","名詞",0.989047
"627","零れ幸い","こぼれざいわい","名詞",0.989046
"628","人徳","にんとく","名詞",0.989029
"629","妙諦","みょうてい","名詞",0.989028
"630","好配","こうはい","名詞",0.98901
"631","神神しい","こうごうしい","形容詞",0.989005
"632","融和","ゆうわ","名詞",0.988992
"633","女丈夫","じょじょうふ","名詞",0.988989
"634","別懇","べっこん","名詞",0.988981
"635","名勝","めいしょう","名詞",0.988978
"636","卓見","たっけん","名詞",0.988977
